"","pk","Player","Yr","Yrs","allstar","allstar.pred","PC1","PC2"
"159",9,"Brandon Jennings",2009,9,0,0.540216517999749,3.08080533020715,-4.70043016192303
"160",10,"Ricky Rubio",2009,9,0,0.475366500550973,2.90370101809392,-3.86374523295362
"161",11,"Darren Collison",2009,10,0,0.328981283644427,2.44543220290649,-2.69625021135173
"162",12,"Taj Gibson",2009,11,0,0.0666141692442656,1.1666649430739,3.7279145890325
"163",13,"Gerald Henderson",2009,8,0,-0.0434168624300794,-0.271711478196918,-1.28322904681947
"164",14,"Patrick Beverley",2009,8,0,-0.0459091461863503,-0.357922633110273,-1.79351353838136
"165",15,"Danny Green",2009,11,0,-0.0461829816093192,-0.368168895690293,-1.76083274722641
"166",16,"DeMarre Carroll",2009,11,0,-0.0466461089243094,-0.38590717197031,-0.583959054051648
"167",17,"Marcus Thornton",2009,8,0,-0.0468349456988432,-0.39329516453371,-2.26359527186512
"168",18,"James Johnson",2009,11,0,-0.054859559535835,-0.918458339620412,1.42937275702059
"169",19,"Patty Mills",2009,11,0,-0.0526837831712889,-1.68482150924848,-2.95416260120663
"170",20,"Jodie Meeks",2009,10,0,-0.0485983506810559,-2.02331321333528,-3.034907632154
"171",21,"Jordan Hill",2009,8,0,-0.0484566150486457,-2.03354109409115,3.70286962031098
"172",22,"Omri Casspi",2009,10,0,-0.0406551635406414,-2.53697151963125,0.339434075851138
"173",23,"DeJuan Blair",2009,7,0,-0.0389486892133524,-2.63913910952829,4.89792567726717
"174",24,"Wayne Ellington",2009,11,0,-0.0365789364745291,-2.77952721948384,-3.30412553748788
"175",25,"Jonas Jerebko",2009,9,0,-0.0362516314874405,-2.79884648643421,0.611221196263679
"176",26,"Dante Cunningham",2009,10,0,-0.0305624493088257,-3.13550587755564,2.00817336200862
"177",27,"Tyler Hansbrough",2009,7,0,-0.027658272536546,-3.31018582004161,1.7053971817601
"178",28,"Toney Douglas",2009,8,0,-0.0260260612420467,-3.40990816744139,-2.86951157573518
"179",29,"Chase Budinger",2009,7,0,-0.0249838163636061,-3.47430528661597,-1.61691326106918
"180",30,"Austin Daye",2009,6,0,0.0061366539745471,-5.88209417017346,-1.33110543836839
"181",1,"Russell Westbrook",2008,12,9,8.30970986740654,14.3457887899324,-2.24407431493845
"182",2,"Kevin Love",2008,12,5,4.27339422993378,8.60999650906985,1.34270913415544
"183",3,"Brook Lopez",2008,12,1,2.1475920621924,5.88705370704675,2.77283575852455
"184",4,"DeAndre Jordan",2008,12,1,2.05031094461443,5.75454499998045,12.4113092795387
"185",5,"Derrick Rose",2008,11,3,1.91275539763681,5.56306540808095,-2.67384984023963
"186",6,"Goran Dragic",2008,12,1,1.25232091180553,4.54766908033647,-1.70959518524084
"187",7,"Danilo Gallinari",2008,11,0,0.867114214721007,3.83307018699889,-2.46473189251784
"188",8,"Nicolas Batum",2008,12,0,0.844376674485675,3.78622659777052,-2.03811869278957
"189",9,"Serge Ibaka",2008,11,0,0.810805912190926,3.71584742883928,3.53410550193648
"190",10,"Eric Gordon",2008,12,0,0.516345105994647,3.01709248762851,-3.43581072992132
"191",11,"George Hill",2008,12,0,0.336581691636158,2.47179427446923,-1.89989750099073
"192",12,"Ryan Anderson",2008,12,0,0.183627548748007,1.85599313512701,-1.29805952459703
"193",13,"Roy Hibbert",2008,9,2,0.108263092889656,1.44819905191342,3.10310337103653
"194",14,"O.J. Mayo",2008,8,0,0.105930922555518,1.43376266174495,-3.01577277032371
"195",15,"Robin Lopez",2008,12,0,0.00906879395143267,0.64552641247277,4.39252687718319
"196",16,"Michael Beasley",2008,11,0,-0.0157709919375544,0.319452090969436,-0.158602714626451
"197",17,"JaVale McGee",2008,12,0,-0.0348812042114425,-0.0390112679091932,6.41599315635718
"198",18,"Mario Chalmers",2008,9,0,-0.0356656454218386,-0.0575784221515109,-2.52209414941233
"199",19,"D.J. Augustin",2008,12,0,-0.039070257546392,-0.143884150355776,-3.61340135890785
"200",20,"Courtney Lee",2008,12,0,-0.04278203869492,-0.251481936992321,-2.18430546466883
"201",21,"Jason Thompson",2008,8,0,-0.0432800288557545,-0.267297806610648,4.18003185081966
"202",22,"J.J. Hickson",2008,8,0,-0.0534357496839827,-0.757618106916554,5.11558439432822
"203",23,"Jerryd Bayless",2008,11,0,-0.0451286654302569,-2.25927053433321,-2.87522642826425
"204",24,"Luc Mbah a Moute",2008,11,0,-0.0450826629148791,-2.26223579411964,1.54720828911059
"205",25,"Marreese Speights",2008,10,0,-0.0412878926444404,-2.49872163173803,0.606040689772886
"206",26,"Kosta Koufos",2008,11,0,-0.0393148181700845,-2.61732361532825,5.67338248464387
"207",27,"Omer Asik",2008,8,0,-0.0390061261930098,-2.63572101174498,6.17812253911415
"208",28,"Brandon Rush",2008,9,0,-0.0282027211466195,-3.27720205023057,-1.17858796677223
"209",29,"Darrell Arthur",2008,9,0,-0.0219317597137059,-3.66673572273997,0.165782988558417
"210",30,"Chris Douglas-Roberts",2008,6,0,-0.0042582053012914,-4.95283639775217,-1.59594530290499
