"","Player","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","PER","WS","BPM","Year"
"1035","Dion Waiters","SO","G","Syracuse","37","891","85","92","67","12","48","69","467","0.476","0.529","0.363","0.729","12.6","2.3","2.5","1.8","0.3","26.3","5","9.8",2012
"1036","Damian Lillard","JR","G","Weber State","32","1105","161","128","47","7","74","62","784","0.467","0.517","0.409","0.887","24.5","5","4","1.5","0.2","34","8","8.8",2012
"1037","Trey Burke","FR","G","Michigan","34","1227","118","156","31","13","94","53","504","0.433","0.49","0.348","0.744","14.8","3.5","4.6","0.9","0.4","19.4","4.3","5.6",2012
"1038","Draymond Green","SR","F","Michigan State","37","1229","394","141","54","35","112","105","601","0.449","0.473","0.388","0.723","16.2","10.6","3.8","1.5","0.9","26.1","7.1","12.7",2012
"1039","Anthony Johnson","FR","G","Purdue","34","527","71","35","14","1","28","51","184","0.391","0.435","0.28","0.493","5.4","2.1","1","0.4","0","12.2","0.7","-1.1",2012
"1040","Frank Kaminsky","FR","C","Wisconsin","35","271","50","10","4","13","10","34","63","0.411","0.619","0.286","0.5","1.8","1.4","0.3","0.1","0.4","14.1","1","6.5",2012
"1041","Meyers Leonard","SO","C","Illinois","32","1018","262","43","15","60","68","94","434","0.584","0.604","0.091","0.732","13.6","8.2","1.3","0.5","1.9","24.1","4.6","8.2",2012
"1042","Victor Oladipo","SO","G","Indiana","36","961","191","73","49","21","76","90","390","0.471","0.523","0.208","0.75","10.8","5.3","2","1.4","0.6","20.5","3.8","7.8",2012
"1043","Jared Sullinger","SO","F","Ohio State","37","1123","340","46","43","39","71","109","647","0.519","0.531","0.4","0.768","17.5","9.2","1.2","1.2","1.1","30.2","7.9","11.6",2012
"1044","Cody Zeller","FR","F","Indiana","36","1025","236","45","49","42","60","97","563","0.623","0.623","0","0.755","15.6","6.6","1.3","1.4","1.2","31.3","6.8","12.5",2012
"1045","Will Barton","SO","G","Memphis","35","1236","279","102","50","25","75","74","631","0.509","0.559","0.346","0.749","18","8","2.9","1.4","0.7","26.6","7.2","10.4",2012
"1046","Jordan Clarkson","SO","G","Tulsa","31","1052","120","79","29","17","83","73","511","0.435","0.461","0.374","0.784","16.5","3.9","2.5","0.9","0.5","20.4","4.1","3.9",2012
"1047","Chris Crawford","SO","G","Memphis","35","997","110","135","63","27","71","73","320","0.431","0.466","0.392","0.775","9.1","3.1","3.9","1.8","0.8","17.8","3.6","7.9",2012
"1048","Kyle O'Quinn","SR","C","Norfolk State","36","1125","372","51","25","97","95","117","572","0.573","0.61","0.188","0.696","15.9","10.3","1.4","0.7","2.7","28.6","6.2","6.7",2012
"1049","Allen Crabbe","SO","G","University of California","34","1158","194","71","18","20","53","48","516","0.431","0.464","0.399","0.843","15.2","5.7","2.1","0.5","0.6","19.7","5.1","7.2",2012
"1050","Spencer Dinwiddie","FR","G","Colorado","36","988","131","64","27","9","50","84","360","0.402","0.38","0.438","0.816","10","3.6","1.8","0.8","0.3","16.8","3.9","4.5",2012
"1051","Solomon Hill","JR","F","Arizona","35","1134","271","91","36","18","86","91","452","0.5","0.551","0.389","0.724","12.9","7.7","2.6","1","0.5","21.4","5.2","8",2012
"1052","Dwight Powell","SO","F","Stanford","35","614","161","26","28","21","52","80","202","0.453","0.5","0.059","0.705","5.8","4.6","0.7","0.8","0.6","15.8","2.1","3.9",2012
"1053","Norman Powell","FR","G","UCLA","33","586","74","39","16","9","24","45","151","0.377","0.405","0.347","0.6","4.6","2.2","1.2","0.5","0.3","11","1.2","1.1",2012
"1054","Andre Roberson","SO","F","Colorado","36","1087","401","42","46","67","65","85","419","0.51","0.537","0.38","0.614","11.6","11.1","1.2","1.3","1.9","25.7","5.7","9.2",2012
"1055","Terrence Ross","SO","G","Washington","35","1088","225","49","44","33","70","99","574","0.457","0.518","0.371","0.766","16.4","6.4","1.4","1.3","0.9","22.3","4.9","6.7",2012
"1056","Tony Wroten","FR","G","Washington","35","1062","176","130","66","13","132","93","559","0.443","0.483","0.161","0.583","16","5","3.7","1.9","0.4","20.4","3.2","5.2",2012
"1057","Bradley Beal","FR","G","Florida","37","1267","249","83","51","31","79","76","546","0.445","0.541","0.339","0.769","14.8","6.7","2.2","1.4","0.8","22","5.7","8.6",2012
"1058","Kentavious Caldwell-Pope","FR","G","Georgia","32","1028","166","38","58","11","36","69","422","0.396","0.512","0.304","0.654","13.2","5.2","1.2","1.8","0.3","20.2","3.4","6.3",2012
"1059","Anthony Davis","FR","F","Kentucky","40","1281","415","50","54","186","41","78","567","0.623","0.653","0.15","0.709","14.2","10.4","1.3","1.4","4.7","35.1","9.9","18.7",2012
"1060","Rodney Hood","FR","F","Mississippi State","32","1050","153","64","13","14","30","41","328","0.443","0.506","0.364","0.659","10.3","4.8","2","0.4","0.4","15.5","2.9","3.5",2012
"1061","Terrence Jones","SO","F","Kentucky","38","1115","272","51","49","68","62","91","469","0.5","0.528","0.327","0.627","12.3","7.2","1.3","1.3","1.8","24.3","5.8","10.4",2012
"1062","Michael Kidd-Gilchrist","FR","F","Kentucky","40","1245","297","75","39","37","87","97","476","0.491","0.535","0.255","0.745","11.9","7.4","1.9","1","0.9","21.2","6","9.1",2012
"1063","Darius Miller","SR","G","Kentucky","40","1043","110","82","33","13","58","87","397","0.474","0.569","0.376","0.797","9.9","2.8","2.1","0.8","0.3","18.1","4.5","8.1",2012
"1064","Josh Richardson","FR","G","Tennessee","34","543","47","24","18","19","32","61","97","0.353","0.422","0.237","0.64","2.9","1.4","0.7","0.5","0.6","6.4","0.5","1.3",2012
"1065","Marcus Thornton","SO","F","Georgia","27","602","129","21","11","13","32","78","82","0.276","0.284","0.235","0.556","3","4.8","0.8","0.4","0.5","5.5","0.1","-2",2012
"1066","Ryan Anderson","SO","F","Boston College","32","1012","255","50","21","16","62","53","477","0.476","0.486","0.214","0.621","14.9","8","1.6","0.7","0.5","22.4","3.1","1",2013
"1067","Devin Booker","SR","F","Clemson","31","988","231","26","19","35","59","71","406","0.545","0.559","0.182","0.623","13.1","7.5","0.8","0.6","1.1","22.6","4","4.3",2013
"1068","Reggie Bullock","JR","G","North Carolina","35","1100","226","101","44","10","43","50","488","0.483","0.545","0.436","0.767","13.9","6.5","2.9","1.3","0.3","23.7","5.7","12",2013
"1069","Joe Harris","JR","G","Virginia","35","1139","141","76","31","17","70","82","570","0.468","0.502","0.425","0.74","16.3","4","2.2","0.9","0.5","22.9","5.8","8.5",2013
"1070","Ryan Kelly","SR","F","Duke","23","664","122","38","16","37","23","55","296","0.453","0.473","0.422","0.812","12.9","5.3","1.7","0.7","1.6","23.5","3.5","11.3",2013
"1071","Shane Larkin","SO","G","Miami (FL)","36","1311","138","164","71","4","82","59","522","0.479","0.538","0.406","0.777","14.5","3.8","4.6","2","0.1","22.6","6.5","10.6",2013
"1072","Jake Layman","FR","F","Maryland","38","757","123","36","21","24","39","62","208","0.396","0.557","0.299","0.694","5.5","3.2","0.9","0.6","0.6","12.8","2.1","5.5",2013
"1073","Alex Len","SO","C","Maryland","38","1004","298","37","8","78","60","101","452","0.534","0.544","0.125","0.686","11.9","7.8","1","0.2","2.1","24.5","5","8",2013
"1074","K.J. McDaniels","SO","F","Clemson","28","771","140","21","32","58","44","62","304","0.433","0.494","0.333","0.684","10.9","5","0.8","1.1","2.1","21.6","2.8","7.1",2013
"1075","Mason Plumlee","SR","F","Duke","36","1248","358","70","36","52","103","92","615","0.599","0.599","0","0.681","17.1","9.9","1.9","1","1.4","26.3","6.9","10.7",2013
"1076","T.J. Warren","FR","F","North Carolina State","35","944","146","28","42","15","34","77","425","0.622","0.632","0.519","0.542","12.1","4.2","0.8","1.2","0.4","23.5","4.1","7.8",2013
"1077","Buddy Hield","FR","G","Oklahoma","27","679","113","50","33","7","44","50","211","0.388","0.481","0.238","0.833","7.8","4.2","1.9","1.2","0.3","14.9","1.6","5.8",2013
"1078","Ben McLemore","FR","G","Kansas","37","1191","192","73","37","25","77","69","589","0.495","0.553","0.42","0.87","15.9","5.2","2","1","0.7","23.2","6.5","10.2",2013
"1079","Taurean Prince","FR","F","Baylor","24","154","52","3","9","2","12","37","88","0.583","0.611","0.333","0.727","3.7","2.2","0.1","0.4","0.1","27.3","0.9","5",2013
"1080","Marcus Smart","FR","G","Oklahoma State","33","1106","192","139","99","22","111","92","507","0.404","0.465","0.29","0.777","15.4","5.8","4.2","3","0.7","24","5.4","12",2013
"1081","Steven Adams","FR","C","Pittsburgh","32","749","203","20","21","65","35","52","231","0.571","0.571","0","0.443","7.2","6.3","0.6","0.7","2","23.2","3.5","11.9",2013
"1082","Michael Carter-Williams","SO","G","Syracuse","40","1409","199","291","109","20","138","92","474","0.393","0.436","0.294","0.694","11.9","5","7.3","2.7","0.5","20.9","6.1","10",2013
"1083","Pat Connaughton","SO","G","Notre Dame","35","1123","164","75","16","12","31","54","310","0.445","0.56","0.377","0.708","8.9","4.7","2.1","0.5","0.3","15.2","3.6","7",2013
"1084","Gorgui Dieng","JR","C","Louisville","33","1026","310","66","44","83","59","85","323","0.534","0.534","0","0.652","9.8","9.4","2","1.3","2.5","23.8","5.6","15",2013
"1085","Kris Dunn","FR","G","Providence","25","680","120","79","29","7","47","77","142","0.398","0.413","0.286","0.69","5.7","4.8","3.2","1.2","0.3","12.4","1.5","4.2",2013
"1086","Jerami Grant","FR","F","Syracuse","40","572","118","18","17","18","26","54","155","0.462","0.471","0.4","0.562","3.9","3","0.5","0.4","0.5","14.8","2","4.8",2013
"1087","Jerian Grant","JR","G","Notre Dame","35","1270","101","194","44","8","100","62","465","0.406","0.446","0.344","0.737","13.3","2.9","5.5","1.3","0.2","17","3.8","4.6",2013
"1088","Montrezl Harrell","FR","F","Louisville","40","649","145","8","20","27","23","51","226","0.577","0.577","0","0.508","5.7","3.6","0.2","0.5","0.7","20","3.1","6.9",2013
"1089","Justin Jackson","JR","F","Cincinnati","30","564","152","44","29","41","54","78","115","0.418","0.455","0.091","0.512","3.8","5.1","1.5","1","1.4","14","1.4","7",2013
"1090","Shabazz Napier","JR","G","Connecticut","28","1043","123","129","56","3","67","58","478","0.441","0.488","0.398","0.819","17.1","4.4","4.6","2","0.1","23.8","5.1","9.9",2013
"1091","Otto Porter","SO","F","Georgetown","31","1097","232","84","57","28","47","61","501","0.48","0.504","0.422","0.777","16.2","7.5","2.7","1.8","0.9","27.3","7.1","13.3",2013
"1092","Trey Burke","SO","G","Michigan","39","1378","124","260","62","20","86","73","727","0.463","0.506","0.384","0.801","18.6","3.2","6.7","1.6","0.5","28.7","8.6","12.2",2013
"1093","Sam Dekker","FR","F","Wisconsin","35","780","118","47","23","14","37","43","335","0.476","0.567","0.391","0.69","9.6","3.4","1.3","0.7","0.4","22.8","4.1","10.4",2013
"1094","Gary Harris","FR","G","Michigan State","34","1010","86","46","45","6","51","68","439","0.456","0.497","0.411","0.755","12.9","2.5","1.4","1.3","0.2","19.2","4.5","8.3",2013
"1095","Anthony Johnson","SO","G","Purdue","34","613","97","40","8","1","35","58","168","0.362","0.41","0.209","0.705","4.9","2.9","1.2","0.2","0","8.5","0.7","-1",2013
"1096","Frank Kaminsky","SO","C","Wisconsin","32","329","56","26","14","17","9","40","133","0.439","0.547","0.311","0.767","4.2","1.8","0.8","0.4","0.5","25.3","2.1","12.8",2013
"1097","Caris LeVert","FR","G","Michigan","33","354","36","25","6","2","10","39","76","0.315","0.326","0.302","0.5","2.3","1.1","0.8","0.2","0.1","7","0.5","1.1",2013
"1098","Victor Oladipo","JR","G","Indiana","36","1021","227","74","78","28","83","89","491","0.599","0.644","0.441","0.746","13.6","6.3","2.1","2.2","0.8","28.9","6.7","17",2013
"1099","Nik Stauskas","FR","G","Michigan","39","1190","116","52","22","9","44","26","430","0.463","0.5","0.44","0.851","11","3","1.3","0.6","0.2","17.6","4.5","8.2",2013
"1100","Denzel Valentine","FR","G","Michigan State","36","749","149","87","28","12","71","68","180","0.445","0.541","0.281","0.667","5","4.1","2.4","0.8","0.3","13.5","2","6.5",2013
"1101","Cody Zeller","SO","F","Indiana","36","1062","289","47","37","45","81","80","594","0.564","0.567","0","0.757","16.5","8","1.3","1","1.3","29.8","7.3","11.3",2013
"1102","James Ennis","SR","G","Cal State Long Beach","33","1093","221","70","58","43","99","75","545","0.491","0.585","0.357","0.834","16.5","6.7","2.1","1.8","1.3","25.3","4.7","7.5",2013
"1103","James Johnson","JR","F","Cal State Fullerton","32","683","95","4","9","11","26","92","202","0.633","0.633","0","0.678","6.3","3","0.1","0.3","0.3","12.5","1.5","-4.6",2013
"1104","Tim Thomas","JR","C","Pacific","20","119","24","1","3","3","7","18","46","0.543","0.559","0","0.667","2.3","1.2","0.1","0.2","0.2","16.1","0.3","-4.4",2013
"1105","James Johnson","SO","F","San Diego State","13","52","2","1","0","1","6","7","14","0.5","0.5","0","0.6","1.1","0.2","0.1","0","0.1","3","0","-6.2",2013
"1106","Tony Snell","JR","G","New Mexico","35","1093","92","101","29","17","72","46","438","0.422","0.452","0.39","0.843","12.5","2.6","2.9","0.8","0.5","17","3.6","5.8",2013
"1107","Isaiah Canaan","SR","G","Murray State","31","1131","110","133","47","4","98","58","676","0.431","0.494","0.37","0.822","21.8","3.5","4.3","1.5","0.1","25.2","5.9","4.7",2013
"1108","Kyle Anderson","FR","G","UCLA","35","1046","302","122","62","31","73","72","338","0.416","0.447","0.211","0.735","9.7","8.6","3.5","1.8","0.9","20.2","3.7","9",2013
"1109","Allen Crabbe","JR","G","University of California","33","1195","200","87","37","23","83","69","607","0.459","0.532","0.348","0.813","18.4","6.1","2.6","1.1","0.7","22.3","5.1","8.3",2013
"1110","Spencer Dinwiddie","SO","G","Colorado","33","1073","105","99","44","16","73","65","505","0.415","0.477","0.338","0.825","15.3","3.2","3","1.3","0.5","22.8","5.4","8.9",2013
"1111","Damyean Dotson","FR","G","Oregon","37","1031","130","33","34","5","50","42","420","0.439","0.509","0.329","0.723","11.4","3.5","0.9","0.9","0.1","15.7","3.5","3.5",2013
"1112","Solomon Hill","SR","F","Arizona","35","1154","187","95","40","20","77","76","468","0.458","0.508","0.39","0.766","13.4","5.3","2.7","1.1","0.6","20.1","5.1","9.3",2013
"1113","Shabazz Muhammad","FR","G","UCLA","32","987","167","27","23","4","51","53","572","0.443","0.463","0.377","0.711","17.9","5.2","0.8","0.7","0.1","21.9","3.7","2.7",2013
"1114","Dwight Powell","JR","F","Stanford","34","1032","285","72","26","39","83","104","506","0.467","0.469","0.455","0.796","14.9","8.4","2.1","0.8","1.1","23.3","4.6","7.5",2013
"1115","Norman Powell","SO","G","UCLA","35","773","76","37","25","18","38","67","212","0.434","0.578","0.293","0.675","6.1","2.2","1.1","0.7","0.5","10.6","1.3","3.6",2013
"1116","Andre Roberson","JR","F","Colorado","31","1036","347","44","67","41","74","77","337","0.48","0.521","0.328","0.551","10.9","11.2","1.4","2.2","1.3","21.9","4.3","9.8",2013
"1117","Mike Muscala","SR","F","Bucknell","34","1079","378","78","17","80","58","74","637","0.509","0.519","0.25","0.789","18.7","11.1","2.3","0.5","2.4","35.7","8.3","11.7",2013
"1118","Mo Williams","SO","G","Army","27","207","14","14","6","1","15","36","25","0.409","0.533","0.143","0.429","0.9","0.5","0.5","0.2","0","1.8","0","-5.5",2013
"1119","Kentavious Caldwell-Pope","SO","G","Georgia","32","1086","226","58","65","17","64","70","591","0.433","0.498","0.373","0.799","18.5","7.1","1.8","2","0.5","27.7","6.2","12.1",2013
"1120","Willie Cauley-Stein","FR","F","Kentucky","29","683","179","27","24","60","48","70","242","0.621","0.621","0","0.372","8.3","6.2","0.9","0.8","2.1","22.1","2.6","8.1",2013
"1121","Nerlens Noel","FR","F","Kentucky","24","765","227","38","50","106","45","62","251","0.59","0.59","0","0.529","10.5","9.5","1.6","2.1","4.4","27.3","3.9","14.6",2013
"1122","Josh Richardson","SO","G","Tennessee","33","1013","143","51","35","23","55","82","261","0.469","0.533","0.214","0.692","7.9","4.3","1.5","1.1","0.7","13.7","2.6","5.3",2013
"1123","Marcus Thornton","JR","F","Georgia","9","198","40","9","3","8","13","25","34","0.364","0.407","0.167","0.563","3.8","4.4","1","0.3","0.9","8.1","0.2","1",2013
"1124","Kelly Olynyk","JR","F","Gonzaga","32","845","235","55","22","36","77","72","571","0.629","0.66","0.3","0.776","17.8","7.3","1.7","0.7","1.1","36.2","6.7","13.4",2013
"1125","Sterling Brown","FR","G","Southern Methodist","37","719","139","40","27","11","43","60","161","0.469","0.531","0.362","0.571","4.4","3.8","1.1","0.7","0.3","12.2","2.1","5.1",2014
"1126","Chris Crawford","SR","G","Memphis","34","1012","135","101","51","10","53","69","297","0.369","0.357","0.373","0.655","8.7","4","3","1.5","0.3","12.9","2.7","5.2",2014
"1127","Montrezl Harrell","SO","F","Louisville","37","1083","311","45","38","49","53","89","519","0.609","0.609","0.667","0.464","14","8.4","1.2","1","1.3","25.7","6.4","9.6",2014
"1128","Justin Jackson","SR","F","Cincinnati","34","944","247","59","55","98","67","104","378","0.532","0.532","0","0.46","11.1","7.3","1.7","1.6","2.9","25.8","4.6","12.9",2014
"1129","Shabazz Napier","SR","G","Connecticut","40","1404","234","195","73","13","114","84","720","0.429","0.448","0.405","0.87","18","5.9","4.9","1.8","0.3","25.5","7.9","12.3",2014
"1130","Terry Rozier","FR","G","Louisville","37","699","114","67","38","2","22","54","259","0.401","0.422","0.371","0.712","7","3.1","1.8","1","0.1","17.8","3.5","7.2",2014
"1131","Ryan Anderson","JR","F","Boston College","32","1004","232","45","25","20","62","65","458","0.489","0.5","0.267","0.739","14.3","7.3","1.4","0.8","0.6","22.5","3.1","1.7",2014
"1132","Malcolm Brogdon","SO","G","Virginia","37","1163","201","101","44","5","53","71","470","0.413","0.434","0.37","0.875","12.7","5.4","2.7","1.2","0.1","20.8","6","10.1",2014
"1133","Pat Connaughton","JR","G","Notre Dame","32","1190","227","95","33","18","35","57","441","0.452","0.556","0.378","0.833","13.8","7.1","3","1","0.6","20.4","4.5","8.1",2014
"1134","Tyler Ennis","FR","G","Syracuse","34","1215","115","187","71","6","58","69","440","0.411","0.429","0.353","0.765","12.9","3.4","5.5","2.1","0.2","21.3","5.5","7.7",2014
"1135","Jerami Grant","SO","F","Syracuse","32","1005","217","44","26","18","37","75","386","0.496","0.506","0","0.674","12.1","6.8","1.4","0.8","0.6","21.6","4.6","5.8",2014
"1136","Jerian Grant","SR","G","Notre Dame","12","427","30","74","24","4","22","24","228","0.518","0.578","0.408","0.865","19","2.5","6.2","2","0.3","29.9","2.6","10",2014
"1137","Joe Harris","SR","G","Virginia","37","1066","109","84","35","8","48","88","443","0.441","0.487","0.4","0.64","12","2.9","2.3","0.9","0.2","18.7","5","9.6",2014
"1138","Rodney Hood","SO","F","Duke","35","1150","138","75","25","9","54","91","562","0.464","0.494","0.42","0.807","16.1","3.9","2.1","0.7","0.3","20.1","4.9","7.2",2014
"1139","Jake Layman","SO","F","Maryland","32","1016","159","30","34","27","37","66","375","0.401","0.441","0.365","0.719","11.7","5","0.9","1.1","0.8","16","3.4","6.3",2014
"1140","K.J. McDaniels","JR","F","Clemson","36","1212","255","57","41","100","83","80","614","0.459","0.527","0.304","0.842","17.1","7.1","1.6","1.1","2.8","28.4","6.7","12.9",2014
"1141","Semi Ojeleye","FR","F","Duke","17","80","15","2","4","4","5","6","28","0.5","0.429","0.571","0.909","1.6","0.9","0.1","0.2","0.2","21.9","0.4","10.2",2014
"1142","Jabari Parker","FR","F","Duke","35","1074","306","41","37","43","81","83","670","0.473","0.504","0.358","0.748","19.1","8.7","1.2","1.1","1.2","28.4","5.5","6.6",2014
"1143","T.J. Warren","SO","F","North Carolina State","35","1238","250","40","63","21","83","97","871","0.525","0.58","0.267","0.69","24.9","7.1","1.1","1.8","0.6","31.3","6.5","8.8",2014
"1144","Joel Embiid","FR","C","Kansas","28","647","227","38","25","72","66","94","313","0.626","0.639","0.2","0.685","11.2","8.1","1.4","0.9","2.6","28.2","3.4","14.9",2014
"1145","Buddy Hield","SO","G","Oklahoma","33","1059","146","62","46","5","60","72","545","0.445","0.512","0.386","0.75","16.5","4.4","1.9","1.4","0.2","19.7","3.7","7.4",2014
"1146","Wesley Iwundu","FR","F","Kansas State","33","780","139","61","19","12","42","71","220","0.461","0.467","0.412","0.634","6.7","4.2","1.8","0.6","0.4","13.9","2.3","4.9",2014
"1147","Monte Morris","FR","G","Iowa State","36","1013","92","134","46","7","28","61","243","0.43","0.445","0.406","0.847","6.8","2.6","3.7","1.3","0.2","14.5","3.4","6.6",2014
"1148","Taurean Prince","SO","F","Baylor","38","542","105","23","20","7","51","78","234","0.465","0.496","0.366","0.709","6.2","2.8","0.6","0.5","0.2","16.2","1.5","3",2014
"1149","Marcus Smart","SO","G","Oklahoma State","31","1014","183","148","89","18","82","91","557","0.422","0.514","0.299","0.728","18","5.9","4.8","2.9","0.6","26.9","5.6","13.5",2014
"1150","Andrew Wiggins","FR","G","Kansas","35","1148","205","54","41","34","80","94","597","0.448","0.493","0.341","0.775","17.1","5.9","1.5","1.2","1","21.4","4.9","8.5",2014
"1151","Kris Dunn","SO","G","Providence","4","106","10","20","7","1","14","9","15","0.316","0.353","0","1","3.8","2.5","5","1.8","0.3","6.4","0","-4.2",2014
"1152","Josh Hart","FR","G","Villanova","34","728","151","30","19","9","19","83","265","0.5","0.67","0.313","0.677","7.8","4.4","0.9","0.6","0.3","18.6","3.5","7.9",2014
"1153","Doug McDermott","SR","F","Creighton","35","1181","244","55","8","5","62","67","934","0.526","0.567","0.449","0.864","26.7","7","1.6","0.2","0.1","32.8","7.7","8.2",2014
"1154","Sam Dekker","SO","F","Wisconsin","38","1134","231","52","29","22","41","52","472","0.469","0.55","0.326","0.686","12.4","6.1","1.4","0.8","0.6","21.4","4.8","7.7",2014
"1155","Gary Harris","SO","G","Michigan State","35","1131","140","94","63","15","60","73","586","0.429","0.507","0.352","0.81","16.7","4","2.7","1.8","0.4","22.5","5.3","9.4",2014
"1156","Jordan Hill","FR","G","Wisconsin","11","25","3","1","0","0","2","5","7","0.143","0","0.25","0.571","0.6","0.3","0.1","0","0","-1.6","0","-8.7",2014
"1157","Frank Kaminsky","JR","C","Wisconsin","38","1032","240","49","26","66","39","96","530","0.528","0.582","0.378","0.765","13.9","6.3","1.3","0.7","1.7","29","6.2","12.4",2014
"1158","Caris LeVert","SO","G","Michigan","37","1258","160","109","44","10","62","63","478","0.439","0.46","0.408","0.767","12.9","4.3","2.9","1.2","0.3","18.2","4.4","7.4",2014
"1159","Nik Stauskas","SO","G","Michigan","36","1281","105","118","20","11","67","47","630","0.47","0.5","0.442","0.824","17.5","2.9","3.3","0.6","0.3","22.7","6.2","9.2",2014
"1160","Denzel Valentine","SO","G","Michigan State","38","1116","228","144","37","12","69","98","303","0.408","0.43","0.377","0.677","8","6","3.8","1","0.3","14.7","3.6","6.9",2014
"1161","Noah Vonleh","FR","F","Indiana","30","794","269","18","26","41","64","81","338","0.523","0.53","0.485","0.716","11.3","9","0.6","0.9","1.4","22.2","3.6","6.1",2014
"1162","Kyle Anderson","SO","G","UCLA","36","1196","315","233","64","27","110","60","527","0.48","0.48","0.483","0.737","14.6","8.8","6.5","1.8","0.8","24.7","5.6","10.8",2014
"1163","Spencer Dinwiddie","JR","G","Colorado","17","529","52","64","26","4","30","32","250","0.466","0.515","0.413","0.857","14.7","3.1","3.8","1.5","0.2","24.8","3.1","10.5",2014
"1164","Damyean Dotson","SO","G","Oregon","33","786","106","40","16","5","38","58","311","0.438","0.495","0.313","0.803","9.4","3.2","1.2","0.5","0.2","13.9","1.8","1.8",2014
"1165","Aaron Gordon","FR","F","Arizona","38","1187","303","75","34","39","55","90","470","0.495","0.513","0.356","0.422","12.4","8","2","0.9","1","20.4","5.4","9.6",2014
"1166","Rondae Hollis-Jefferson","FR","F","Arizona","38","960","215","55","28","40","44","92","347","0.49","0.502","0.2","0.682","9.1","5.7","1.4","0.7","1.1","20.3","4.9","10.2",2014
"1167","Zach LaVine","FR","G","UCLA","37","904","94","66","33","6","42","73","349","0.441","0.494","0.375","0.691","9.4","2.5","1.8","0.9","0.2","14.6","2.5","3.5",2014
"1168","Dwight Powell","SR","F","Stanford","36","1167","247","112","47","30","104","113","505","0.462","0.485","0.256","0.687","14","6.9","3.1","1.3","0.8","19.7","3.8","6.5",2014
"1169","Norman Powell","JR","G","UCLA","37","952","105","63","51","14","38","85","422","0.533","0.607","0.294","0.78","11.4","2.8","1.7","1.4","0.4","20.2","4.1","7.1",2014
"1170","Delon Wright","JR","G","Utah","33","1202","224","174","82","43","84","61","513","0.561","0.633","0.222","0.793","15.5","6.8","5.3","2.5","1.3","27","7.3","13.1",2014
"1171","Willie Cauley-Stein","SO","F","Kentucky","37","880","225","25","44","106","31","98","252","0.596","0.596","0","0.482","6.8","6.1","0.7","1.2","2.9","23.6","4.1","14.9",2014
"1172","Jordan Clarkson","JR","G","Missouri","35","1228","134","118","38","6","93","76","612","0.448","0.501","0.281","0.831","17.5","3.8","3.4","1.1","0.2","20.2","4.4","4",2014
"1173","Bobby Portis","FR","F","Arkansas","34","918","230","50","35","54","41","59","418","0.509","0.537","0.273","0.737","12.3","6.8","1.5","1","1.6","23.5","4.4","8.3",2014
"1174","Julius Randle","FR","F","Kentucky","40","1233","416","57","20","31","101","91","599","0.501","0.517","0.167","0.706","15","10.4","1.4","0.5","0.8","24.5","5.9","7.1",2014
"1175","Josh Richardson","JR","G","Tennessee","37","1124","106","56","27","30","37","79","381","0.474","0.544","0.34","0.793","10.3","2.9","1.5","0.7","0.8","16.3","4.4","7",2014
"1176","Marcus Thornton","JR","F","Georgia","34","880","207","16","18","45","51","82","283","0.438","0.437","0.455","0.647","8.3","6.1","0.5","0.5","1.3","15.8","2.3","2.2",2014
"1177","Elfrid Payton","JR","G","Louisiana","35","1258","210","208","80","21","127","83","672","0.509","0.541","0.259","0.609","19.2","6","5.9","2.3","0.6","25.2","5.6","6.8",2014
"1178","Marvin Williams","JR","C","Louisiana-Monroe","25","605","121","11","13","23","38","76","215","0.489","0.497","0.2","0.596","8.6","4.8","0.4","0.5","0.9","14.5","1.2","-3",2014
"1179","Malcolm Brogdon","JR","G","Virginia","34","1105","134","81","24","14","58","65","476","0.422","0.463","0.344","0.879","14","3.9","2.4","0.7","0.4","20.1","5.6","8.9",2015
"1180","Pat Connaughton","SR","G","Notre Dame","38","1351","282","57","27","36","44","75","475","0.466","0.537","0.423","0.781","12.5","7.4","1.5","0.7","0.9","19.4","5.4","8.2",2015
"1181","Jerian Grant","SR","G","Notre Dame","38","1408","115","253","63","19","82","75","628","0.478","0.572","0.316","0.78","16.5","3","6.7","1.7","0.5","25.5","7.7","8.9",2015
"1182","Montrezl Harrell","JR","F","Louisville","35","1229","321","49","33","42","69","74","549","0.566","0.602","0.243","0.597","15.7","9.2","1.4","0.9","1.2","24.8","6.6","9.2",2015
"1183","Justin Jackson","FR","F","North Carolina","38","1014","139","88","20","19","52","55","408","0.477","0.544","0.304","0.71","10.7","3.7","2.3","0.5","0.5","17.8","3.6","7.7",2015
"1184","Cameron Johnson","FR","G","Pittsburgh","8","115","9","4","1","3","4","12","36","0.394","0.5","0.348","0.5","4.5","1.1","0.5","0.1","0.4","10.4","0.2","0.5",2015
"1185","Tyus Jones","FR","G","Duke","39","1322","137","217","59","3","76","46","461","0.417","0.44","0.379","0.889","11.8","3.5","5.6","1.5","0.1","20.4","6.5","9.4",2015
"1186","Cody Martin","FR","F","North Carolina State","19","216","38","23","9","6","18","36","65","0.475","0.538","0","0.529","3.4","2","1.2","0.5","0.3","15","0.5","5.5",2015
