"","Player","p.G","p.MP","p.FG","p.FGA","p.FG.","p.X3P","p.X3PA","p.X3P.","p.X2P","p.X2PA","p.X2P.","p.eFG.","p.FT","p.FTA","p.FT.","p.ORB","p.DRB","p.TRB","p.AST","p.STL","p.BLK","p.TOV","p.PF","p.PTS","p.PER"
"370","Dominic McGuire",166,15.9481927710843,1.30240963855422,3.02771084337349,0.429602409638554,0,0.0385542168674699,0,1.30240963855422,2.98915662650602,0.433939759036145,0.429602409638554,0.449397590361446,0.668674698795181,0.62883734939759,1.01626506024096,2.56626506024096,3.58253012048193,1.14879518072289,0.486746987951807,0.543373493975904,0.659638554216867,1.64518072289157,3,10.1610501624235
"371","Glen Davis",286,27.2947552447552,4.56188811188811,10.2244755244755,0.445167832167832,0.0395104895104895,0.188111888111888,0.216255244755245,4.52237762237762,10.0388111888112,0.449381118881119,0.44720979020979,1.98461538461538,2.77622377622378,0.702734265734266,1.60804195804196,4.13286713286713,5.70804195804196,1.26083916083916,0.90034965034965,0.418181818181818,1.2479020979021,2.43006993006993,11.1083916083916,13.6491755505169
"372","Jared Dudley",356,25.4393258426966,3.49438202247191,7.3752808988764,0.472856741573034,1.21994382022472,2.97865168539326,0.410904494382022,2.2752808988764,4.38792134831461,0.509997191011236,0.558460674157303,1.60561797752809,2.16516853932584,0.747179775280899,1.2564606741573,2.38904494382022,3.61376404494382,1.61713483146067,0.937359550561798,0.182584269662921,0.975280898876404,1.68820224719101,9.80955056179775,15.4011949339694
"373","Jason Smith",280,20.0771428571429,3.48535714285714,7.37071428571429,0.473760714285714,0.0857142857142857,0.2475,0.188264285714286,3.45607142857143,7.12321428571429,0.480353571428571,0.478939285714286,1.19714285714286,1.51357142857143,0.802032142857143,1.2125,2.76214285714286,3.95642857142857,1.07071428571429,0.396071428571429,0.797142857142857,1.04071428571429,2.465,8.27892857142857,13.9835963960438
"374","Jeff Green",319,31.2366771159875,5.28495297805643,12.2742946708464,0.434758620689655,1.23322884012539,3.62068965517241,0.349210031347962,4.05141065830721,8.6423197492163,0.470203761755486,0.484818181818182,3.06739811912226,3.75454545454545,0.816479623824451,0.756426332288401,3.49592476489028,4.23699059561129,1.67836990595611,0.696238244514107,0.567084639498433,1.60783699059561,2.04952978056426,14.9307210031348,14.437699382809
"375","Joakim Noah",322,33.2273291925466,4.38136645962733,8.82422360248447,0.496006211180124,0,0.0204968944099379,0,4.38136645962733,8.80434782608696,0.497422360248447,0.496006211180124,2.72981366459627,3.67453416149068,0.743745341614907,3.66645962732919,7.07577639751553,10.7670807453416,3.40372670807453,0.911801242236025,1.62298136645963,2.06894409937888,2.94906832298137,11.467701863354,18.8868385486765
"376","Josh McRoberts",229,24.5943231441048,2.5703056768559,5.7,0.448344978165939,0.702620087336245,2.07991266375546,0.320576419213974,1.85240174672489,3.61528384279476,0.510004366812227,0.508087336244541,0.88471615720524,1.17816593886463,0.737803493449782,1.22008733624454,3.44978165938865,4.66986899563319,2.83100436681223,0.563318777292576,0.458078602620087,1.05938864628821,2.15109170305677,6.71659388646288,13.0546813089256
"377","Julian Wright",231,13.1835497835498,1.72294372294372,3.44415584415584,0.503121212121212,0.0493506493506494,0.266666666666667,0.268151515151515,1.65108225108225,3.15281385281385,0.521904761904762,0.51374025974026,0.425974025974026,0.719047619047619,0.584056277056277,0.825974025974026,1.53549783549784,2.30865800865801,0.783982683982684,0.561471861471861,0.321212121212121,0.691774891774892,0.816450216450216,3.91991341991342,12.9606175215078
"378","Kevin Durant",323,36.5263157894737,9.49628482972136,18.5479876160991,0.512312693498452,2.17306501547988,5.50433436532508,0.39430959752322,7.32321981424149,13.0687306501548,0.563613003095975,0.570678018575851,7.15820433436532,8.06965944272446,0.885393188854489,0.625077399380805,7.16532507739938,7.80959752321981,4.91145510835913,1.18637770897833,1.15139318885449,3.18359133126935,1.89164086687306,28.2987616099071,29.9991642057975
"379","Marc Gasol",346,34.0445086705202,6.22890173410405,13.0754335260116,0.47842485549133,0.299421965317919,0.912138728323699,0.271878612716763,5.92947976878613,12.1632947976879,0.486471098265896,0.488624277456647,3.72023121387283,4.55693641618497,0.816742774566474,1.43468208092486,5.80693641618497,7.25664739884393,3.98323699421965,0.955202312138728,1.46271676300578,2.11763005780347,2.67254335260116,16.4884393063584,19.6301641255072
"380","Marco Belinelli",313,23.9137380191693,3.90287539936102,9.05143769968051,0.430776357827476,1.7741214057508,4.68434504792332,0.371603833865815,2.17092651757189,4.35814696485623,0.493635782747604,0.527361022364217,1.77955271565495,1.9776357827476,0.902948881789137,0.242172523961661,1.93514376996805,2.16070287539936,1.8629392971246,0.659424920127796,0.143450479233227,1.03801916932907,1.23738019169329,11.3357827476038,15.5244880427522
"381","Mike Conley",277,32.4671480144404,6.15415162454874,13.9776173285199,0.439797833935018,1.92743682310469,5.1173285198556,0.378064981949458,4.22671480144404,8.88519855595668,0.475223826714801,0.507967509025271,4.04548736462094,4.76281588447653,0.847981949458484,0.453429602888087,2.71696750902527,3.17509025270758,5.96209386281588,1.26678700361011,0.274729241877256,1.97725631768953,1.85920577617329,18.2653429602888,21.6212169702226
"382","Nick Young",227,26.211013215859,4.83436123348018,11.8616740088106,0.407431718061674,1.75286343612335,4.72687224669604,0.36947577092511,3.1,7.15330396475771,0.431810572687225,0.481374449339207,2.72334801762115,3.24405286343612,0.842229074889868,0.455506607929515,1.85286343612335,2.30837004405286,1.23171806167401,0.644933920704846,0.245814977973568,1.18678414096916,2.03876651982379,14.1462555066079,14.5353236693054
"383","Ramon Sessions",250,27.1368,4.1608,9.7332,0.42766,0.4636,1.5632,0.302092,3.6972,8.148,0.451024,0.45218,4.0484,5.0516,0.804468,0.474,2.1736,2.6388,4.2104,0.658,0.1,1.8496,1.2332,12.8452,16.4950221838979
"384","Rodney Stuckey",353,31.214730878187,5.04815864022663,11.8875354107649,0.423305949008499,0.432011331444759,1.52181303116147,0.284889518413598,4.59546742209632,10.3657223796034,0.443600566572238,0.443215297450425,3.79518413597734,4.59093484419263,0.822220963172805,0.824079320113315,2.36770538243626,3.19178470254957,4.48753541076487,1.00679886685552,0.157790368271955,2.0671388101983,2.40339943342776,14.2872521246459,15.3869715123244
"385","Rudy Fernandez",249,23.9457831325301,2.9566265060241,7.4574297188755,0.397935742971888,1.6566265060241,4.59477911646586,0.358008032128514,1.3,2.81887550200803,0.458823293172691,0.509321285140562,1.44417670682731,1.73172690763052,0.835935742971888,0.531325301204819,1.93734939759036,2.44377510040161,2.20642570281125,1,0.187550200803213,1.14979919678715,1.46907630522088,9.03935742971887,13.5768589014676
"386","Spencer Hawes",279,29.005376344086,4.78602150537634,10.3774193548387,0.462939068100358,1.03906810035842,2.58064516129032,0.376218637992832,3.74695340501792,7.80645161290323,0.480455197132616,0.510870967741936,1.44695340501792,1.84695340501792,0.773716845878136,1.83225806451613,5.9820788530466,7.82401433691756,2.71075268817204,0.475627240143369,1.27168458781362,1.91146953405018,2.8921146953405,12.0670250896057,16.6221374729688
